transaction_id,date,produit,quantite,prix_unitaire,client_id,ville,region,canal_vente,mode_paiement,statut,montant_total
TXN000001,2023-01-01 00:00:00,Arachide,59,1259,CLI0189,Lomé,Maritime,Marché local,Espèces,Livrée,74281
TXN000002,2023-01-01 02:00:00,Arachide,2,2013,CLI0480,Kara,Kara,Coopérative,Chèque,Retardée,4026
TXN000003,2023-01-01 04:00:00,Haricot,95,2048,CLI0383,Niamtougou,Kara,Grossiste,Chèque,Livrée,194560
TXN000004,2023-01-01 06:00:00,Sorgho,62,1490,CLI0322,Lomé,Maritime,Export,Espèces,Livrée,92380
TXN000005,2023-01-01 08:00:00,Arachide,49,2387,CLI0443,Niamtougou,Kara,Export,Crédit,Livrée,116963
TXN000006,2023-01-01 10:00:00,Manioc,20,266,CLI0490,Cinkassé,Savanes,Vente directe,Virement,Livrée,5320
TXN000007,2023-01-01 12:00:00,Maïs,29,1214,CLI0133,Kara,Kara,Marché local,Chèque,Livrée,35206
TXN000008,2023-01-01 14:00:00,Arachide,17,1753,CLI0426,Kara,Kara,Vente directe,Crédit,En cours,29801
TXN000009,2023-01-01 16:00:00,Soja,74,1592,CLI0250,Tchamba,Centrale,Vente directe,Espèces,En cours,117808
TXN000010,2023-01-01 18:00:00,Manioc,22,1901,CLI0061,Niamtougou,Kara,Export,Virement,Livrée,41822
TXN000011,2023-01-01 20:00:00,Arachide,6,778,CLI0422,Lomé,Maritime,Grossiste,Virement,Livrée,4668
TXN000012,2023-01-01 22:00:00,Igname,62,1805,CLI0476,Lomé,Maritime,Coopérative,Crédit,En cours,111910
TXN000013,2023-01-02 00:00:00,Igname,98,1426,CLI0223,Tchamba,Centrale,Vente directe,Mobile Money,Livrée,139748
TXN000014,2023-01-02 02:00:00,Riz,31,2158,CLI0438,Cinkassé,Savanes,Grossiste,Mobile Money,Livrée,66898
TXN000015,2023-01-02 04:00:00,Soja,62,2178,CLI0384,Aného,Maritime,Vente directe,Mobile Money,Annulée,135036
